No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2015, 13.35 ,0.17,0.00,0.00,0.50,0.00,0.00,24.270,0.85,0.027,0.4,0.9805,0.19,0,0,1,0,4.8763,,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2016, 13.20 ,0.17,0.00,0.00,0.50,0.00,0.00,24.462,0.85,0.007,0.39,0.9838,0.19,0,0,1,0,5.0331,,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2017, 13.20 ,0.17,0.00,0.00,0.50,0.00,0.00,24.612,0.86,0.023,0.38,0.9861,0.19,0,0,1,0,5.0698,,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2018, 13.30 ,0.50,0.00,0.00,1.00,0.29,0.00,24.677,0.86,0.019,0.36,0.9878,0.19,0,0,1,1,5.1743,,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2019, 13.72 ,0.58,0.00,0.00,1.00,0.43,0.00,24.751,0.85,0.023,0.36,0.9886,0.20,0,0,1,1,5.0182,,
8,BBNI,Bank Negara Indonesia (Persero) Tbk.,2020, 13.67 ,0.25,1.00,0.25,0.50,0.14,0.00,24.784,0.87,0.043,0.38,0.9893,0.17,0,0,1,0,-2.0695,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2015, 11.17 ,0.17,0.00,0.00,0.50,0.00,0.00,20.223,0.84,0.019,0.26,0.8586,0.22,0,0,1,0,4.8763,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2016, 11.17 ,0.25,0.00,0.00,0.75,0.00,0.00,20.557,0.83,0.029,0.22,0.8640,0.24,0,0,1,0,5.0331,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2017, 11.24 ,0.25,0.00,0.00,0.75,0.00,0.00,20.910,0.81,0.026,0.19,0.8889,0.30,0,0,1,0,5.0698,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2018, 11.25 ,0.25,0.00,0.00,0.75,0.00,0.00,21.199,0.81,0.029,0.16,0.9069,0.28,0,0,1,0,5.1743,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2019, 11.34 ,0.33,0.00,0.00,1.00,0.00,0.00,21.390,0.83,0.077,0.15,0.9225,0.24,0,0,1,0,5.0182,,
9,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,2020, 11.53 ,0.33,1.00,0.33,1.00,0.00,0.00,21.409,0.85,0.050,0.16,0.9263,0.24,0,0,1,0,-2.0695,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2015, 11.90 ,0.17,0.00,0.00,0.50,0.00,0.00,23.245,0.92,0.034,0.56,0.9683,0.17,0,0,1,0,4.8763,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2016, 12.00 ,0.25,0.00,0.00,0.75,0.00,0.00,23.492,0.91,0.028,0.54,0.9750,0.20,0,0,1,0,5.0331,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2017, 12.05 ,0.25,0.00,0.00,0.75,0.00,0.00,23.683,0.92,0.027,0.53,0.9795,0.19,0,0,1,0,5.0698,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2018, 12.02 ,0.25,0.00,0.00,0.75,0.00,0.00,23.775,0.92,0.028,0.56,0.9824,0.18,0,0,1,0,5.1743,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2019, 12.14 ,0.25,0.00,0.00,0.75,0.00,0.00,23.834,0.92,0.048,0.65,0.9833,0.17,0,0,1,0,5.0182,,
10,BBTN,Bank Tabungan Negara (Persero) Tbk.,2020, 12.31 ,0.25,1.00,0.25,0.75,0.00,0.00,23.966,0.94,0.044,0.64,0.9858,0.19,0,0,1,0,-2.0695,,
11,BCIC,Bank JTrust Indonesia Tbk.,2019, 12.71 ,0.17,0.00,0.00,0.50,0.00,0.00,20.943,0.9,0.015,0.5,0.3062,0.15,0,1,0,0,5.0182,,
11,BCIC,Bank JTrust Indonesia Tbk.,2020, 12.30 ,0.25,1.00,0.25,0.50,0.00,0.50,20.862,0.91,0.050,0.6,0.2704,0.12,1,1,0,0,-2.0695,,
12,BDMN,Bank Danamon Indonesia Tbk.,2015, 12.63 ,0.42,0.00,0.00,0.50,0.43,0.00,23.187,0.79,0.030,0.37,0.9625,0.21,0,0,1,0,4.8763,,
12,BDMN,Bank Danamon Indonesia Tbk.,2016, 12.64 ,0.58,0.00,0.00,1.00,0.43,0.00,23.132,0.76,0.031,0.39,0.9601,0.22,0,0,1,0,5.0331,,
12,BDMN,Bank Danamon Indonesia Tbk.,2017, 12.69 ,0.42,0.00,0.00,1.00,0.14,0.00,23.150,0.75,0.028,0.43,0.9611,0.23,0,0,1,1,5.0698,,
12,BDMN,Bank Danamon Indonesia Tbk.,2018, 12.64 ,0.58,0.00,0.00,1.00,0.43,0.00,23.123,0.74,0.027,0.44,0.9624,0.23,0,0,1,1,5.1743,,
12,BDMN,Bank Danamon Indonesia Tbk.,2019, 12.65 ,0.33,0.00,0.00,1.00,0.00,0.00,23.227,0.74,0.030,0.44,0.9653,0.25,0,0,1,0,5.0182,,
12,BDMN,Bank Danamon Indonesia Tbk.,2020, 12.81 ,0.58,1.00,0.58,1.00,0.14,1.00,23.276,0.76,0.028,0.4,0.9680,0.26,0,0,1,0,-2.0695,,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2015, 10.52 ,0.00,0.00,0.00,0.00,0.00,0.00,19.885,0.95,0.059,0.65,0.8143,0.08,1,1,0,1,4.8763,,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2016, 10.58 ,0.08,0.00,0.00,0.25,0.00,0.00,19.784,0.84,0.057,0.99,0.6086,0.13,1,1,0,1,5.0331,,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2017, 10.48 ,0.17,0.00,0.00,0.50,0.00,0.00,20.153,0.9,0.054,0.65,0.7309,0.10,1,1,0,0,5.0698,,
13,BEKS,Bank Pembangunan Daerah Banten Tbk.,2018, 10.51 ,0.25,0.00,0.00,0.50,0.14,0.00,20.300,0.93,0.059,0.52,0.7816,0.10,1,1,0,0,5.1743,,
