No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
26,BTPN,Bank BTPN Tbk.,2018, 12.91 ,0.17,0.00,0.00,0.50,0.00,0.00,22.556,0.82,0.012,0.41,0.9987,0.24,0,0,1,0,5.1743,,
26,BTPN,Bank BTPN Tbk.,2019, 13.15 ,0.17,0.00,0.00,0.50,0.00,0.00,23.212,0.84,0.008,0.37,0.9990,0.24,0,0,1,1,5.0182,,
26,BTPN,Bank BTPN Tbk.,2020, 13.28 ,0.33,1.00,0.33,0.75,0.00,0.50,23.202,0.83,0.012,0.43,0.9991,0.25,0,0,1,1,-2.0695,,
27,BVIC,Bank Victoria International Tbk.,2015, 11.57 ,0.17,0.00,0.00,0.50,0.00,0.00,21.193,0.9,0.045,0.14,0.9667,0.19,0,0,1,1,4.8763,,
27,BVIC,Bank Victoria International Tbk.,2016, 11.58 ,0.17,0.00,0.00,0.50,0.00,0.00,21.331,0.89,0.039,0.15,0.9677,0.25,0,0,1,0,5.0331,,
27,BVIC,Bank Victoria International Tbk.,2017, 11.63 ,0.25,0.00,0.00,0.50,0.14,0.00,21.418,0.9,0.031,0.15,0.9677,0.18,0,0,1,0,5.0698,,
27,BVIC,Bank Victoria International Tbk.,2018, 11.72 ,0.17,0.00,0.00,0.50,0.00,0.00,21.395,0.9,0.035,0.17,0.9689,0.17,0,0,1,0,5.1743,,
27,BVIC,Bank Victoria International Tbk.,2019, 11.57 ,0.17,0.00,0.00,0.50,0.00,0.00,21.443,0.9,0.068,0.18,0.9692,0.17,1,0,1,0,5.0182,,
27,BVIC,Bank Victoria International Tbk.,2020, 11.67 ,0.25,1.00,0.25,0.50,0.00,0.50,21.266,0.89,0.076,0.24,0.9643,0.17,1,0,1,0,-2.0695,,
28,DNAR,Bank Oke Indonesia Tbk.,2020, 9.78 ,0.25,1.00,0.25,0.50,0.00,0.50,19.913,0.6,0.035,0.52,0.8218,0.54,0,0,0,0,-2.0695,,
29,INPC,Bank Artha Graha Internasional Tbk.,2018, 11.00 ,0.17,0.00,0.00,0.50,0.00,0.00,21.309,0.82,0.060,0.44,0.9316,0.20,0,0,0,1,5.1743,,
29,INPC,Bank Artha Graha Internasional Tbk.,2019, 11.04 ,0.33,0.00,0.00,0.50,0.29,0.00,21.331,0.82,0.057,0.44,0.9326,0.19,1,1,0,0,5.0182,,
29,INPC,Bank Artha Graha Internasional Tbk.,2020, 11.14 ,0.25,1.00,0.25,0.50,0.00,0.50,21.495,0.88,0.046,0.46,0.9445,0.16,0,0,0,0,-2.0695,,
30,MAYA,Bank Mayapada Internasional Tbk.,2015, 11.50 ,0.17,0.00,0.00,0.50,0.00,0.00,21.956,0.9,0.025,0.16,0.9872,0.13,0,0,1,1,4.8763,,
30,MAYA,Bank Mayapada Internasional Tbk.,2016, 12.18 ,0.17,0.00,0.00,0.50,0.00,0.00,22.234,0.88,0.021,0.17,0.9893,0.13,0,0,1,1,5.0331,,
30,MAYA,Bank Mayapada Internasional Tbk.,2017, 11.43 ,0.17,0.00,0.00,0.50,0.00,0.00,22.431,0.89,0.057,0.17,0.9905,0.14,0,0,1,0,5.0698,,
30,MAYA,Bank Mayapada Internasional Tbk.,2018, 11.42 ,0.17,0.00,0.00,0.50,0.00,0.00,22.516,0.88,0.055,0.18,0.9907,0.16,0,0,0,1,5.1743,,
30,MAYA,Bank Mayapada Internasional Tbk.,2019, 12.16 ,0.25,0.00,0.00,0.50,0.00,0.50,22.628,0.87,0.039,0.17,0.9912,0.16,0,0,0,1,5.0182,,
30,MAYA,Bank Mayapada Internasional Tbk.,2020, 11.67 ,0.25,1.00,0.25,0.50,0.00,0.50,22.604,0.86,0.041,0.28,0.9912,0.15,0,1,0,0,-2.0695,,
31,MCOR,Bank China Construction Bank Indonesia Tbk.,2019, 11.95 ,0.17,0.00,0.00,0.50,0.00,0.00,21.030,0.85,0.025,0.38,0.9135,0.17,0,0,1,0,5.0182,,
31,MCOR,Bank China Construction Bank Indonesia Tbk.,2020, 11.68 ,0.25,1.00,0.25,0.50,0.00,0.50,21.305,0.76,0.029,0.4,0.8547,0.35,0,0,1,0,-2.0695,,
33,NISP,Bank OCBC NISP Tbk.,2015, 12.40 ,0.17,0.00,0.00,0.50,0.00,0.00,22.890,0.86,0.013,0.31,0.9752,0.17,0,0,1,1,4.8763,,
33,NISP,Bank OCBC NISP Tbk.,2016, 12.64 ,0.25,0.00,0.00,0.75,0.00,0.00,23.054,0.86,0.019,0.32,0.9788,0.18,0,0,1,0,5.0331,,
33,NISP,Bank OCBC NISP Tbk.,2017, 12.50 ,0.33,0.00,0.00,1.00,0.00,0.00,23.153,0.86,0.018,0.31,0.9809,0.18,0,0,1,0,5.0698,,
33,NISP,Bank OCBC NISP Tbk.,2018, 12.51 ,0.25,0.00,0.00,0.50,0.14,0.00,23.207,0.86,0.017,0.29,0.9830,0.18,0,0,1,0,5.1743,,
33,NISP,Bank OCBC NISP Tbk.,2019, 12.60 ,0.17,0.00,0.00,0.50,0.00,0.00,23.289,0.85,0.017,0.29,0.9843,0.19,0,0,1,1,5.0182,,
33,NISP,Bank OCBC NISP Tbk.,2020, 12.55 ,0.42,1.00,0.42,1.00,0.00,0.50,23.406,0.86,0.019,0.32,0.9864,0.22,0,0,1,1,-2.0695,,
35,PNBN,Bank Pan Indonesia Tbk,2015, 12.53 ,0.17,0.00,0.00,0.50,0.00,0.00,23.230,0.84,0.024,0.27,0.9853,0.20,0,0,1,1,4.8763,,
35,PNBN,Bank Pan Indonesia Tbk,2016, 12.56 ,0.17,0.00,0.00,0.50,0.00,0.00,23.339,0.84,0.028,0.26,0.9868,0.20,0,0,1,1,5.0331,,
35,PNBN,Bank Pan Indonesia Tbk,2017, 12.60 ,0.17,0.00,0.00,0.50,0.00,0.00,23.398,0.83,0.028,0.26,0.9876,0.22,0,0,1,0,5.0698,,
35,PNBN,Bank Pan Indonesia Tbk,2018, 12.72 ,0.17,0.00,0.00,0.50,0.00,0.00,23.292,0.81,0.030,0.28,0.9870,0.23,0,0,1,0,5.1743,,
35,PNBN,Bank Pan Indonesia Tbk,2019, 12.53 ,0.17,0.00,0.00,0.50,0.00,0.00,23.340,0.79,0.030,0.28,0.9876,0.24,0,0,1,0,5.0182,,
35,PNBN,Bank Pan Indonesia Tbk,2020, 12.61 ,0.42,1.00,0.42,1.00,0.00,0.50,23.382,0.79,0.030,0.35,0.9884,0.30,0,0,1,0,-2.0695,,
36,PNBS,Bank Panin Dubai Syariah Tbk.,2018, 11.35 ,0.08,0.00,0.00,0.25,0.00,0.00,20.222,0.81,0.048,3.81,0.7222,0.23,0,0,1,0,5.1743,,
36,PNBS,Bank Panin Dubai Syariah Tbk.,2019, 11.45 ,0.00,0.00,0.00,0.00,0.00,0.00,20.501,0.85,0.038,5.4,0.7886,0.14,0,0,1,0,5.0182,,
36,PNBS,Bank Panin Dubai Syariah Tbk.,2020, 11.45 ,0.17,1.00,0.17,0.25,0.00,0.50,20.502,0.72,0.034,3.77,0.6678,0.31,0,0,1,0,-2.0695,,
38,AMBANK,AMMB Holdings,2015, 13.26 ,0.17,0.00,0.00,0.50,0.00,0.00,21.625,0.13,0.018,16.19,0.6870,0.16,0,0,1,1,5.0915,,
38,AMBANK,AMMB Holdings,2016, 13.33 ,0.25,0.00,0.00,0.75,0.00,0.00,21.586,0.19,0.019,7.72,0.6935,0.16,0,0,1,1,4.4498,,
38,AMBANK,AMMB Holdings,2017, 13.27 ,0.25,0.00,0.00,0.75,0.00,0.00,21.770,0.18,0.019,0.37,0.5467,0.16,0,0,1,0,5.8127,,
38,AMBANK,AMMB Holdings,2018, 13.94 ,0.50,0.00,0.00,0.75,0.43,0.00,21.592,0.32,0.017,0.38,0.4233,0.17,0,0,1,0,4.7699,,
38,AMBANK,AMMB Holdings,2019, 14.18 ,0.50,0.00,0.00,1.00,0.29,0.00,21.562,0.05,0.016,5.06,0.3994,0.15,0,0,1,0,4.3028,,
38,AMBANK,AMMB Holdings,2020, 13.76 ,0.33,1.00,0.33,1.00,0.00,0.00,21.858,0.22,0.017,3.42,0.5519,0.16,0,0,1,0,-5.5877,,
39,CIMB MYL,CIMB Holdings,2015, 15.06 ,0.42,0.00,0.00,1.00,0.14,0.00,24.941,0.91,0.018,0.39,0.9679,0.16,0,0,1,1,5.0915,,
39,CIMB MYL,CIMB Holdings,2016, 15.07 ,0.50,0.00,0.00,0.75,0.43,0.00,24.929,0.9,0.019,0.35,0.9681,0.16,0,0,1,0,4.4498,,
39,CIMB MYL,CIMB Holdings,2017, 15.01 ,0.33,0.00,0.00,0.75,0.14,0.00,25.053,0.9,0.022,0.34,0.9321,0.18,0,0,1,0,5.8127,,
39,CIMB MYL,CIMB Holdings,2018, 15.41 ,0.33,0.00,0.00,0.75,0.14,0.00,25.077,0.9,0.022,0.33,0.9232,0.18,0,0,1,0,4.7699,,
39,CIMB MYL,CIMB Holdings,2019, 15.25 ,0.25,0.00,0.00,0.75,0.00,0.00,25.133,0.89,0.023,0.41,0.9241,0.19,0,0,1,0,4.3028,,
39,CIMB MYL,CIMB Holdings,2020, 15.10 ,0.33,1.00,0.33,0.75,0.00,0.50,25.205,0.9,0.030,0.46,0.9304,0.19,0,0,1,0,-5.5877,,
40,HLBANK,Hong Leong Bank,2015, 12.14 ,0.08,0.00,0.00,0.25,0.00,0.00,24.459,0.92,0.009,0.26,0.9885,0.14,0,0,1,0,5.0915,,
40,HLBANK,Hong Leong Bank,2016, 12.32 ,0.08,0.00,0.00,0.25,0.00,0.00,24.417,0.89,0.008,0.29,0.9870,0.15,0,0,1,0,4.4498,,
40,HLBANK,Hong Leong Bank,2017, 11.74 ,0.50,0.00,0.00,1.00,0.29,0.00,24.368,0.89,0.010,0.29,0.9530,0.16,0,0,1,0,5.8127,,
40,HLBANK,Hong Leong Bank,2018, 11.86 ,0.42,0.00,0.00,1.00,0.14,0.00,24.453,0.89,0.009,0.29,0.9540,0.16,0,0,1,0,4.7699,,
40,HLBANK,Hong Leong Bank,2019, 12.03 ,0.50,0.00,0.00,1.00,0.29,0.00,24.427,0.88,0.008,0.28,0.9540,0.16,0,0,1,0,4.3028,,
40,HLBANK,Hong Leong Bank,2020, 11.96 ,0.42,1.00,0.42,1.00,0.00,0.50,24.445,0.88,0.006,0.3,0.9554,0.16,0,0,1,0,-5.5877,,
41,MAYBANK,Malayan Banking,2015, 15.18 ,0.17,0.00,0.00,0.50,0.00,0.00,25.453,0.89,0.019,0.38,0.9780,0.18,0,0,1,1,5.0915,,
41,MAYBANK,Malayan Banking,2016, 15.19 ,0.33,0.00,0.00,1.00,0.00,0.00,25.416,0.88,0.024,0.35,0.9775,0.19,0,0,1,0,4.4498,,
41,MAYBANK,Malayan Banking,2017, 15.26 ,0.67,0.00,0.00,1.00,0.57,0.00,25.543,0.88,0.027,0.37,0.9170,0.19,0,0,1,0,5.8127,,
41,MAYBANK,Malayan Banking,2018, 15.53 ,0.67,0.00,0.00,1.00,0.57,0.00,25.419,0.86,0.034,0.33,0.8943,0.18,0,0,1,0,4.7699,,
41,MAYBANK,Malayan Banking,2019, 15.42 ,0.67,0.00,0.00,1.00,0.57,0.00,25.449,0.85,0.038,0.31,0.8966,0.19,0,0,1,0,4.3028,,
41,MAYBANK,Malayan Banking,2020, 15.45 ,0.50,1.00,0.50,1.00,0.29,0.00,25.494,0.85,0.030,0.37,0.9026,0.19,0,0,1,0,-5.5877,,
42,PBBANK,Public Bank,2015, 13.79 ,0.42,0.00,0.00,1.00,0.14,0.00,24.930,0.9,0.005,0.15,0.9852,0.16,0,0,1,0,5.0915,,
42,PBBANK,Public Bank,2016, 13.81 ,0.42,0.00,0.00,1.00,0.14,0.00,24.932,0.9,0.005,0.16,0.9861,0.15,0,0,1,0,4.4498,,
42,PBBANK,Public Bank,2017, 13.91 ,0.50,0.00,0.00,1.00,0.29,0.00,25.063,0.9,0.004,0.16,0.9714,0.16,0,0,1,0,5.8127,,
42,PBBANK,Public Bank,2018, 14.33 ,0.50,0.00,0.00,1.00,0.29,0.00,25.101,0.89,0.005,0.16,0.9707,0.16,0,0,1,0,4.7699,,
42,PBBANK,Public Bank,2019, 14.10 ,0.50,0.00,0.00,1.00,0.29,0.00,25.141,0.89,0.004,0.17,0.9726,0.16,0,0,1,0,4.3028,,
42,PBBANK,Public Bank,2020, 14.16 ,0.67,1.00,0.67,1.00,0.57,0.00,25.201,0.89,0.003,0.2,0.9745,0.17,0,0,1,0,-5.5877,,
43,BAY,Bank Of Ayudhya Public Company Limited,2015, 11.62 ,0.17,0.00,0.00,0.50,0.00,0.00,24.547,0.9,0.022,0.46,0.9531,0.14,0,0,1,0,3.1340,,
43,BAY,Bank Of Ayudhya Public Company Limited,2016, 11.86 ,0.17,0.00,0.00,0.50,0.00,0.00,24.643,0.9,0.022,0.49,0.9587,0.14,0,0,1,0,3.4352,,
43,BAY,Bank Of Ayudhya Public Company Limited,2017, 11.52 ,0.25,0.00,0.00,0.50,0.14,0.00,24.837,0.91,0.021,0.49,0.9646,0.16,0,0,1,0,4.1777,,
43,BAY,Bank Of Ayudhya Public Company Limited,2018, 11.48 ,0.25,0.00,0.00,0.50,0.14,0.00,24.869,0.9,0.021,0.45,0.9640,0.15,0,0,1,0,4.1896,,
43,BAY,Bank Of Ayudhya Public Company Limited,2019, 11.81 ,0.25,0.00,0.00,0.50,0.14,0.00,25.029,0.91,0.020,0.44,0.9680,0.17,0,0,1,0,2.2664,,
43,BAY,Bank Of Ayudhya Public Company Limited,2020, 10.52 ,0.50,1.00,0.50,1.00,0.29,0.00,25.129,0.91,0.020,0.45,0.9713,0.18,0,0,1,0,-6.0872,,
44,BBL,Bangkok Bank Public Company Limited,2015, 13.69 ,0.08,0.00,0.00,0.25,0.00,0.00,25.054,0.87,0.028,0.42,0.9927,0.18,0,0,1,0,3.1340,,
44,BBL,Bangkok Bank Public Company Limited,2016, 13.79 ,0.25,0.00,0.00,0.75,0.00,0.00,25.096,0.87,0.032,0.47,0.9932,0.18,0,0,1,0,3.4352,,
44,BBL,Bangkok Bank Public Company Limited,2017, 13.79 ,0.25,0.00,0.00,0.75,0.00,0.00,25.233,0.87,0.039,0.45,0.9938,0.18,0,0,1,0,4.1777,,
44,BBL,Bangkok Bank Public Company Limited,2018, 13.81 ,0.25,0.00,0.00,0.75,0.00,0.00,25.253,0.87,0.034,0.47,0.9936,0.18,0,0,1,0,4.1896,,
44,BBL,Bangkok Bank Public Company Limited,2019, 13.99 ,0.25,0.00,0.00,0.75,0.00,0.00,25.364,0.87,0.034,0.46,0.9941,0.20,0,0,1,0,2.2664,,
44,BBL,Bangkok Bank Public Company Limited,2020, 14.18 ,0.42,1.00,0.42,0.75,0.29,0.00,25.448,0.87,0.039,0.58,0.9946,0.20,0,0,1,0,-6.0872,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2015, 12.67 ,0.00,0.00,0.00,0.00,0.00,0.00,22.853,0.91,0.031,0.45,0.9570,0.15,0,0,1,0,3.1340,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2016, 12.67 ,0.17,0.00,0.00,0.50,0.00,0.00,22.834,0.91,0.061,0.48,0.9575,0.16,1,0,1,0,3.4352,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2017, 12.73 ,0.08,0.00,0.00,0.25,0.00,0.00,22.928,0.89,0.047,0.51,0.9508,0.17,0,0,1,0,4.1777,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2018, 12.76 ,0.08,0.00,0.00,0.25,0.00,0.00,23.103,0.9,0.043,0.53,0.9501,0.19,1,0,1,0,4.1896,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2019, 12.86 ,0.08,0.00,0.00,0.25,0.00,0.00,23.275,0.9,0.047,0.51,0.9563,0.17,0,0,1,0,2.2664,,
45,CIMBT,Cimb Thai Bank Public Company Limited,2020, 13.07 ,0.25,1.00,0.25,0.25,0.14,0.50,23.323,0.9,0.046,0.58,0.9587,0.21,0,0,1,0,-6.0872,,
46,KBANK,Kasikornbank Public Company Limited,2015, 13.57 ,0.17,0.00,0.00,0.50,0.00,0.00,24.855,0.88,0.027,0.58,0.9888,0.17,0,0,1,0,3.1340,,
46,KBANK,Kasikornbank Public Company Limited,2016, 13.50 ,0.17,0.00,0.00,0.50,0.00,0.00,24.954,0.88,0.033,0.56,0.9901,0.18,0,0,1,0,3.4352,,
46,KBANK,Kasikornbank Public Company Limited,2017, 13.55 ,0.33,0.00,0.00,1.00,0.00,0.00,25.038,0.87,0.033,0.57,0.9906,0.17,0,0,1,0,4.1777,,
46,KBANK,Kasikornbank Public Company Limited,2018, 13.62 ,0.33,0.00,0.00,1.00,0.00,0.00,25.123,0.87,0.033,0.57,0.9909,0.17,0,0,1,0,4.1896,,
46,KBANK,Kasikornbank Public Company Limited,2019, 13.76 ,0.33,0.00,0.00,1.00,0.00,0.00,25.227,0.87,0.037,0.59,0.9915,0.19,0,0,1,0,2.2664,,
46,KBANK,Kasikornbank Public Company Limited,2020, 13.87 ,0.50,1.00,0.50,1.00,0.00,1.00,25.347,0.87,0.039,0.58,0.9926,0.18,0,0,1,0,-6.0872,,
47,KKP,Kiatnakin Phatra Bank PCL,2015, 12.87 ,0.08,0.00,0.00,0.25,0.00,0.00,22.538,0.83,0.058,0.4,0.9597,0.17,0,0,1,0,3.1340,,
47,KKP,Kiatnakin Phatra Bank PCL,2016, 12.68 ,0.17,0.00,0.00,0.50,0.00,0.00,22.540,0.82,0.056,0.45,0.9610,0.19,0,0,1,0,3.4352,,
47,KKP,Kiatnakin Phatra Bank PCL,2017, 12.86 ,0.17,0.00,0.00,0.50,0.00,0.00,22.738,0.84,0.050,0.44,0.9667,0.16,0,0,1,0,4.1777,,
47,KKP,Kiatnakin Phatra Bank PCL,2018, 13.08 ,0.17,0.00,0.00,0.50,0.00,0.00,22.931,0.86,0.041,0.44,0.9712,0.16,0,0,1,0,4.1896,,
47,KKP,Kiatnakin Phatra Bank PCL,2019, 13.17 ,0.17,0.00,0.00,0.50,0.00,0.00,23.018,0.86,0.040,0.4,0.9725,0.17,0,0,1,0,2.2664,,
47,KKP,Kiatnakin Phatra Bank PCL,2020, 13.15 ,0.17,1.00,0.17,0.50,0.00,0.00,23.191,0.87,0.032,0.36,0.9771,0.17,0,0,1,0,-6.0872,,
48,KTB,Krung Thai Bank Public Company Limited,2015, 12.45 ,0.33,0.00,0.00,1.00,0.00,0.00,25.053,0.91,0.032,0.36,0.9723,0.15,0,0,0,0,3.1340,,
48,KTB,Krung Thai Bank Public Company Limited,2016, 12.34 ,0.33,0.00,0.00,1.00,0.00,0.00,25.013,0.9,0.040,0.38,0.9721,0.17,0,0,0,0,3.4352,,
48,KTB,Krung Thai Bank Public Company Limited,2017, 12.44 ,0.33,0.00,0.00,1.00,0.00,0.00,25.164,0.9,0.042,0.39,0.9750,0.17,0,0,0,0,4.1777,,
48,KTB,Krung Thai Bank Public Company Limited,2018, 12.48 ,0.33,0.00,0.00,1.00,0.00,0.00,25.128,0.89,0.045,0.44,0.9728,0.18,0,0,0,0,4.1896,,
48,KTB,Krung Thai Bank Public Company Limited,2019, 12.58 ,0.33,0.00,0.00,1.00,0.00,0.00,25.292,0.9,0.043,0.45,0.9760,0.19,0,0,1,1,2.2664,,
48,KTB,Krung Thai Bank Public Company Limited,2020, 13.98 ,0.67,1.00,0.67,1.00,0.57,0.00,25.400,0.9,0.038,0.46,0.9786,0.19,0,0,1,1,-6.0872,,
49,LHFG,Lh Financial Group PCL,2015, 9.99 ,0.25,0.00,0.00,0.25,0.29,0.00,19.907,0.04,0.028,1.49,0.0993,0.14,0,0,1,0,3.1340,,
49,LHFG,Lh Financial Group PCL,2016, 10.03 ,0.25,0.00,0.00,0.25,0.29,0.00,19.979,0.03,0.028,2.13,0.1869,0.14,0,0,1,0,3.4352,,
49,LHFG,Lh Financial Group PCL,2017, 10.13 ,0.25,0.00,0.00,0.25,0.29,0.00,20.795,0.04,0.033,2.93,0.4193,0.22,0,0,1,0,4.1777,,
49,LHFG,Lh Financial Group PCL,2018, 10.21 ,0.25,0.00,0.00,0.75,0.00,0.00,20.954,0.16,0.035,4.99,0.4794,0.20,0,0,1,0,4.1896,,
49,LHFG,Lh Financial Group PCL,2019, 10.25 ,0.25,0.00,0.00,0.75,0.00,0.00,21.022,0.14,0.028,44.13,0.4940,0.19,0,0,1,0,2.2664,,
49,LHFG,Lh Financial Group PCL,2020, 10.29 ,0.67,1.00,0.67,1.00,0.29,1.00,21.023,0.18,0.054,65.38,0.4986,0.20,0,0,1,0,-6.0872,,
50,SCB,The Siam Commercial Bank PCL,2015, 13.52 ,0.17,0.00,0.00,0.50,0.00,0.00,24.984,0.89,0.029,0.4,0.9860,0.17,0,0,1,0,3.1340,,
50,SCB,The Siam Commercial Bank PCL,2016, 13.58 ,0.17,0.00,0.00,0.50,0.00,0.00,25.031,0.88,0.027,0.43,0.9870,0.17,0,0,1,0,3.4352,,
50,SCB,The Siam Commercial Bank PCL,2017, 13.67 ,0.25,0.00,0.00,0.75,0.00,0.00,25.147,0.88,0.028,0.48,0.9880,0.17,0,0,1,0,4.1777,,
50,SCB,The Siam Commercial Bank PCL,2018, 13.77 ,0.33,0.00,0.00,1.00,0.00,0.00,25.202,0.88,0.029,0.53,0.9881,0.17,0,0,1,0,4.1896,,
50,SCB,The Siam Commercial Bank PCL,2019, 13.83 ,0.50,0.00,0.00,1.00,0.29,0.00,25.307,0.87,0.034,0.54,0.9888,0.16,0,0,1,0,2.2664,,
50,SCB,The Siam Commercial Bank PCL,2020, 13.97 ,0.50,1.00,0.50,1.00,0.14,0.50,25.417,0.88,0.037,0.53,0.9901,0.18,0,0,1,0,-6.0872,,
51,TCAP,Thanachart Capital PCL,2015, 13.17 ,0.08,0.00,0.00,0.25,0.00,0.00,24.095,0.89,0.030,1.13,0.9872,0.15,0,0,1,0,3.1340,,
51,TCAP,Thanachart Capital PCL,2016, 13.17 ,0.08,0.00,0.00,0.25,0.00,0.00,24.033,0.88,0.024,1.1,0.9875,0.16,0,0,1,0,3.4352,,
51,TCAP,Thanachart Capital PCL,2017, 13.23 ,0.08,0.00,0.00,0.25,0.00,0.00,24.132,0.87,0.024,0.74,0.9886,0.15,0,0,1,0,4.1777,,
51,TCAP,Thanachart Capital PCL,2018, 13.35 ,0.25,0.00,0.00,0.75,0.00,0.00,24.215,0.87,0.024,0.71,0.9890,0.19,0,0,1,0,4.1896,,
51,TCAP,Thanachart Capital PCL,2019, 13.48 ,0.25,0.00,0.00,0.75,0.00,0.00,22.369,0.54,0.023,0.88,0.9276,0.20,0,0,1,0,2.2664,,
51,TCAP,Thanachart Capital PCL,2020, 12.50 ,0.42,1.00,0.42,0.75,0.14,0.50,22.227,0.48,0.030,0.82,0.9172,0.20,0,0,1,0,-6.0872,,
52,TISCO,Tisco Financial Group PCL,2015, 12.31 ,0.17,0.00,0.00,0.50,0.00,0.00,20.438,0.7,0.032,13.78,0.6890,0.18,0,0,1,0,3.1340,,
52,TISCO,Tisco Financial Group PCL,2016, 12.28 ,0.17,0.00,0.00,0.50,0.00,0.00,20.460,0.73,0.025,27.17,0.7049,0.20,0,0,1,0,3.4352,,
52,TISCO,Tisco Financial Group PCL,2017, 12.45 ,0.17,0.00,0.00,0.50,0.00,0.00,20.672,0.71,0.023,32.78,0.7517,0.19,0,0,1,0,4.1777,,
52,TISCO,Tisco Financial Group PCL,2018, 12.68 ,0.17,0.00,0.00,0.50,0.00,0.00,20.681,0.76,0.029,25.68,0.7414,0.21,0,0,1,0,4.1896,,
52,TISCO,Tisco Financial Group PCL,2019, 12.69 ,0.17,0.00,0.00,0.50,0.00,0.00,20.793,0.75,0.024,28.71,0.7594,0.21,0,0,1,0,2.2664,,
52,TISCO,Tisco Financial Group PCL,2020, 12.73 ,0.33,1.00,0.33,0.50,0.00,1.00,20.736,0.76,0.025,27.36,0.7474,0.22,0,0,1,0,-6.0872,,
53,TTB,Tmbthanachart Bank PCL,2015, 12.63 ,0.00,0.00,0.00,0.00,0.00,0.00,23.869,0.09,0.030,0.44,0.9478,0.17,0,0,1,0,3.1340,,
53,TTB,Tmbthanachart Bank PCL,2016, 12.67 ,0.00,0.00,0.00,0.00,0.00,0.00,23.825,0.1,0.025,0.45,0.9470,0.18,0,0,1,0,3.4352,,
53,TTB,Tmbthanachart Bank PCL,2017, 12.73 ,0.08,0.00,0.00,0.25,0.00,0.00,23.973,0.11,0.024,0.49,0.9524,0.17,0,0,1,0,4.1777,,
53,TTB,Tmbthanachart Bank PCL,2018, 12.77 ,0.25,0.00,0.00,0.75,0.00,0.00,24.033,0.11,0.028,0.48,0.9529,0.17,0,0,1,0,4.1896,,
53,TTB,Tmbthanachart Bank PCL,2019, 13.08 ,0.25,0.00,0.00,0.75,0.00,0.00,24.269,0.18,0.024,0.51,0.9150,0.30,0,0,1,0,2.2664,,
53,TTB,Tmbthanachart Bank PCL,2020, 13.65 ,0.33,1.00,0.33,1.00,0.00,0.00,24.415,0.17,0.025,0.55,0.9271,0.29,0,0,1,0,-6.0872,,
54,AUB,Asia United Bank Corporation,2015, 11.58 ,0.25,0.00,0.00,0.75,0.00,0.00,21.889,0.87,0.008,0.72,0.9668,0.14,0,0,1,1,6.3483,,
54,AUB,Asia United Bank Corporation,2016, 11.21 ,0.08,0.00,0.00,0.25,0.00,0.00,21.909,0.86,0.006,0.68,0.9688,0.19,0,0,1,0,7.1495,,
54,AUB,Asia United Bank Corporation,2017, 11.18 ,0.00,0.00,0.00,0.00,0.00,0.00,22.096,0.86,0.003,0.6,0.9756,0.16,0,0,1,0,6.9310,,
54,AUB,Asia United Bank Corporation,2018, 11.17 ,0.25,0.00,0.00,0.75,0.00,0.00,22.217,0.87,0.013,0.52,0.9793,0.15,0,0,1,0,6.3415,,
54,AUB,Asia United Bank Corporation,2019, 11.27 ,0.08,0.00,0.00,0.25,0.00,0.00,22.359,0.87,0.010,0.49,0.9818,0.18,0,0,1,0,6.1185,,
54,AUB,Asia United Bank Corporation,2020, 11.42 ,0.08,1.00,0.08,0.25,0.00,0.00,22.601,0.88,0.032,0.81,0.9850,0.18,0,0,1,0,-9.5730,,
55,BDO,"BDO Unibank, Inc.",2015, 12.41 ,0.17,0.00,0.00,0.50,0.00,0.00,24.439,0.9,0.010,0.64,0.8936,0.12,0,0,0,0,6.3483,,
55,BDO,"BDO Unibank, Inc.",2016, 12.24 ,0.17,0.00,0.00,0.50,0.00,0.00,24.507,0.9,0.011,0.61,0.8962,0.11,0,0,0,0,7.1495,,
55,BDO,"BDO Unibank, Inc.",2017, 12.56 ,0.17,0.00,0.00,0.25,0.14,0.00,24.647,0.88,0.010,0.57,0.8833,0.14,0,0,0,0,6.9310,,
55,BDO,"BDO Unibank, Inc.",2018, 12.35 ,0.17,0.00,0.00,0.50,0.00,0.00,24.728,0.89,0.008,0.52,0.8867,0.13,0,0,0,0,6.3415,,
55,BDO,"BDO Unibank, Inc.",2019, 12.76 ,0.33,0.00,0.00,0.50,0.29,0.00,24.824,0.88,0.010,0.46,0.8820,0.14,0,0,0,0,6.1185,,
55,BDO,"BDO Unibank, Inc.",2020, 12.55 ,0.17,1.00,0.17,0.50,0.00,0.00,24.933,0.88,0.025,0.47,0.8829,0.14,0,0,0,0,-9.5730,,
56,BPI,Bank of the Philippine Islands,2015, 12.49 ,0.00,0.00,0.00,0.00,0.00,0.00,23.958,0.91,0.016,0.63,0.9660,0.12,0,0,1,1,6.3483,,
